"Assessment","FleetName"
"Cobia_SEDAR28","Com_Combined_1"
"Cobia_SEDAR28","Recreational_Combined_2"
"Cobia_SEDAR28","Shrimp_Bycatch_3"
"Cobia_SEDAR28","MRFSS_4"
"Cobia_SEDAR28U","Com_Combined_1"
"Cobia_SEDAR28U","Recreational_Combined_2"
"Cobia_SEDAR28U","Shrimp_Bycatch_3"
"Cobia_SEDAR28U","MRFSS_4"
"Gag Grouper_SEDAR33U","Com_HL_1"
"Gag Grouper_SEDAR33U","Com_LL_2"
"Gag Grouper_SEDAR33U","Headboat_3"
"Gag Grouper_SEDAR33U","CHARTER_4"
"Gag Grouper_SEDAR33U","PRIVATE_5"
"Gag Grouper_SEDAR33U","REDTIDE_6"
"Gag Grouper_SEDAR33U","MRFSS_7"
"Gag Grouper_SEDAR33U","Age0_8"
"Gag Grouper_SEDAR33U","SEAMAP_Video_9"
"Gag Grouper_SEDAR33U","PC_Video_10"
"Gag Grouper_SEDAR33U","CHARTER_SURVEY_11"
"Gag Grouper_SEDAR72","Com_VL_OTH_1"
"Gag Grouper_SEDAR72","Com_LL_2"
"Gag Grouper_SEDAR72","Rec_HBT_3"
"Gag Grouper_SEDAR72","Rec_CBT_4"
"Gag Grouper_SEDAR72","Rec_PRIV_SH_5"
"Gag Grouper_SEDAR72","Srv_RT_6"
"Gag Grouper_SEDAR72","Srv_CBT_PRIV_7"
"Gag Grouper_SEDAR72","Srv_AGE0_8"
"Gag Grouper_SEDAR72","Srv_SEAMAP_VIDEO_9"
"Gag Grouper_SEDAR72","Srv_PC_VIDEO_10"
"Gray Snapper_SEDAR51","CHL_MC_1"
"Gray Snapper_SEDAR51","CHL_nMC_2"
"Gray Snapper_SEDAR51","CM_LL_3"
"Gray Snapper_SEDAR51","REC_PR_4"
"Gray Snapper_SEDAR51","Rec_Shore_5"
"Gray Snapper_SEDAR51","Rec_HB_CBT6"
"Gray Snapper_SEDAR51","RCHL_7"
"Gray Snapper_SEDAR51","MRFSS_Private_8"
"Gray Snapper_SEDAR51","MRFSS_Shore_9"
"Gray Snapper_SEDAR51","FWRI_Age0_10"
"Gray Snapper_SEDAR51","FWRI_Age1_11"
"Gray Snapper_SEDAR51","SEAMAP_Trawl_12"
"Gray Snapper_SEDAR51","NMFS_FWRI_Video_13"
"Gray Snapper_SEDAR51","Visual_Survey_14"
"Gray Snapper_SEDAR75","Com_VL_1"
"Gray Snapper_SEDAR75","Com_LL_2"
"Gray Snapper_SEDAR75","Com_NT_3"
"Gray Snapper_SEDAR75","Rec_PR_4"
"Gray Snapper_SEDAR75","Rec_Shore_5"
"Gray Snapper_SEDAR75","Rec_HB_CBT_6"
"Gray Snapper_SEDAR75","Index_Private_7"
